mijoz_id,to'liq_ism,jinsi,tug'ilgan_sana,yoshi,Yosh_guruxi,viloyat,shahar_tuman,telefon,email,ro'yxatdan_o'tgan_sana,mijoz_staji_oy,Mijoz_staji_guruxi,bank,filial,mijoz_segmenti,ta'lim,kasb_sohasi,oilaviy_holat,o'rtacha_oylik_daromad_uzs,Daromad_guruxi,kredit_reytingi,Kredit_reytingi_guruxi,hisob_qoldig'i_uzs,kredit_mavjud,kredit_summasi_uzs,kredit_turi,yillik_foiz_stavkasi,kredit_muddati_oy,Kredit_yuklamasi_foiz,depozit_mavjud,depozit_summasi_uzs,mahsulotlar_soni,asosiy_mahsulot,karta_turi,oxirgi_oy_tranzaksiyalar_soni,oxirgi_oy_tranzaksiya_hajmi_uzs,Faollik_darajasi,mobil_ilova_foydalanadi,internet_banking,oxirgi_kirish_kunlari,Raqamli_mijoz,xavf_reytingi,kyc_status,muddati_o'tgan_qarz,muddati_o'tgan_kunlar,jalb_qilish_kanali,faol_mijoz,risk_segmenti,viloyat_kredit_orni,churn_xavfi,ketib_qolish_xavfi,mijoz_qiymat_indeksi,mijoz_toifasi
UZB103308,Valiyeva Barno,Ayol,1980-09-23,45,45-54,Andijon,Xonobod,998908000000.0,barno.valiye97@gmail.com,2024-10-17,22,O‘rta (1-3 yil),Milliy bank,Filial-038,Retail,Oliy,Savdo,Uylangan/Turmushga chiqqan,9637500,Yuqori (7-15 mln),763,A’lo (750+),136330,Ha,79627301,Biznes krediti,28.5,6.0,137.7,Ha,8993092,4,Iste’mol krediti,Humo,7,5189993,O‘rtacha,Ha,Yo‘q,12.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Yuqori risk,11,Faol / Sodiq,Faol / Sodiq,1074366.36,Platina (Tier 1)
UZB100940,Ibragimova Kamola,Ayol,1994-01-20,32,25-34,Andijon,Xonobod,998932000000.0,kamola.ibragi69@inbox.uz,2022-09-02,48,Uzoq muddatli (3+ yil),Asaka bank,Filial-054,Retail,Magistr,Davlat xizmati,Uylangan/Turmushga chiqqan,5569720,O‘rta (3-7 mln),569,O‘rta (500-649),2370266,Ha,79090003,Biznes krediti,30.4,36.0,39.4,Yo‘q,0,1,Mikroqarz,Mastercard Gold,8,4658670,Faol,Yo‘q,Ha,0.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Filial,Ha,O'rtacha risk,12,Faol / Sodiq,Faol / Sodiq,768658.7000000001,Oltin (Tier 2)
UZB103337,Ismoilov Otabek,Erkak,1994-02-15,32,25-34,Andijon,Andijon shahri,998883000000.0,otabek.ismoil13@gmail.com,2023-02-26,42,Uzoq muddatli (3+ yil),Orient Finans bank,Filial-027,VIP,O‘rta,Qishloq xo‘jaligi,Ajrashgan,12320126,Yuqori (7-15 mln),558,O‘rta (500-649),2275161,Ha,77829888,Kredit kartasi,23.0,60.0,10.5,Yo‘q,0,4,Iste’mol krediti,Visa Classic,8,1620693,Faol,Ha,Yo‘q,33.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),13,Faol / Sodiq,Faol / Sodiq,1378184.5100000002,Platina (Tier 1)
UZB103243,Rasulova Jamila,Ayol,1988-07-28,38,35-44,Andijon,Shahrixon,998937000000.0,jamila.rasulo24@inbox.uz,2023-10-29,34,O‘rta (1-3 yil),Tenge Bank,Filial-030,Retail,Bakalavr,Xizmat ko‘rsatish,Uylangan/Turmushga chiqqan,6102349,O‘rta (3-7 mln),507,O‘rta (500-649),1384948,Ha,74158855,Avtokredit,23.4,36.0,33.8,Ha,3829397,3,Plastik karta,Uzcard,5,2152774,O‘rtacha,Ha,Yo‘q,7.0,Raqamli,Juda yuqori,Tasdiqlangan,Yo‘q,0,Agent,Ha,O'rtacha risk,14,Faol / Sodiq,Faol / Sodiq,722537.78,Oltin (Tier 2)
UZB103476,Karimova Oydin,Ayol,1979-11-06,46,45-54,Andijon,Shahrixon,998913000000.0,oydin.karimo32@inbox.uz,2021-01-23,68,Uzoq muddatli (3+ yil),Turonbank,Filial-074,Retail,O‘rta,Bank/Moliya,Uylangan/Turmushga chiqqan,4315370,O‘rta (3-7 mln),652,Yaxshi (650-749),1157833,Ha,64648145,Ipoteка,30.1,60.0,25.0,Yo‘q,0,4,Mikroqarz,Mastercard Gold,7,1409472,O‘rtacha,Ha,Ha,40.0,Raqamli,Past,Qisman,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),15,Faol / Sodiq,Faol / Sodiq,517618.09,Oddiy (Tier 3)
UZB100649,Ismoilov Mirzo,Erkak,1999-01-10,27,25-34,Andijon,Asaka,998909000000.0,mirzo.ismoil37@mail.ru,2024-12-25,20,O‘rta (1-3 yil),Orient Finans bank,Filial-066,Retail,O‘rta maxsus,Ishlab chiqarish,Uylangan/Turmushga chiqqan,1963226,Past (< 3 mln),663,Yaxshi (650-749),10426210,Ha,61817511,Avtokredit,24.9,12.0,262.4,Ha,8718223,1,Plastik karta,UnionPay,19,2375932,Faol,Ha,Yo‘q,6.0,Raqamli,O‘rta,Kutilmoqda,Yo‘q,0,Partner,Ha,Yuqori risk,16,Faol / Sodiq,Faol / Sodiq,765151.74,Oltin (Tier 2)
UZB100520,Boboyeva Rayhon,Ayol,1982-05-23,44,35-44,Andijon,Andijon shahri,998915000000.0,rayhon.boboye86@umail.uz,2022-11-10,46,Uzoq muddatli (3+ yil),Turonbank,Filial-073,Retail,O‘rta maxsus,Bank/Moliya,Bo‘ydoq,15829718,Juda yuqori (15+ mln),761,A’lo (750+),1413315,Ha,59866797,Biznes krediti,24.4,6.0,63.0,Yo‘q,0,2,Biznes krediti,Mastercard Standard,7,601157,O‘rtacha,Ha,Ha,10.0,Raqamli,Yuqori,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha,Yuqori risk,17,Faol / Sodiq,Faol / Sodiq,1665660.69,Platina (Tier 1)
UZB100837,Kamolov Eldor,Erkak,1986-01-06,40,35-44,Andijon,Asaka,998971000000.0,eldor.kamolo61@umail.uz,2021-11-08,58,Uzoq muddatli (3+ yil),Anorbank,Filial-050,Retail,Oliy,Energetika,Bo‘ydoq,4205007,O‘rta (3-7 mln),570,O‘rta (500-649),3390866,Ha,57326022,Avtokredit,25.5,6.0,227.2,Ha,4256127,2,Plastik karta,Humo,8,5824661,Faol,Yo‘q,Yo‘q,,An’anaviy,Past,Kutilmoqda,Ha,34,Agent,Ha,Yuqori risk,18,Faol / Sodiq,Faol / Sodiq,706537.22,Oltin (Tier 2)
UZB102842,Sultonova Parvina,Ayol,1987-05-05,39,35-44,Andijon,Asaka,998906000000.0,parvina.sulton59@umail.uz,2019-02-16,91,Uzoq muddatli (3+ yil),Kapitalbank,Filial-006,Retail,O‘rta,Ta’lim,Bo‘ydoq,4249609,O‘rta (3-7 mln),493,Yomon (<500),448940,Ha,54015540,Mikroqarz,21.8,36.0,35.3,Yo‘q,0,5,Plastik karta,Visa Classic,12,12081204,Faol,Ha,Ha,21.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha,O'rtacha risk,19,Faol / Sodiq,Faol / Sodiq,689031.98,Oltin (Tier 2)
UZB103886,Olimova Rayhon,Ayol,1986-11-09,39,35-44,Andijon,Xonobod,998972000000.0,rayhon.olimov55@umail.uz,2022-12-25,44,Uzoq muddatli (3+ yil),Trastbank,Filial-055,Retail,Magistr,Qishloq xo‘jaligi,Ajrashgan,3600148,O‘rta (3-7 mln),636,O‘rta (500-649),1812316,Ha,52465474,Iste’mol krediti,31.0,48.0,30.4,Ha,37652334,5,Muddatli depozit,Humo,12,2794102,Faol,Ha,Ha,0.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha,O'rtacha risk,20,Faol / Sodiq,Faol / Sodiq,506512.64,Oddiy (Tier 3)
UZB100646,Olimova Jasmina,Ayol,1997-08-14,29,25-34,Andijon,Shahrixon,998957000000.0,jasmina.olimov29@yandex.ru,2024-03-27,29,O‘rta (1-3 yil),Xalq banki,Filial-053,Mass,Bakalavr,Savdo,Uylangan/Turmushga chiqqan,7840562,Yuqori (7-15 mln),728,Yaxshi (650-749),234251,Ha,51534066,Avtokredit,22.6,48.0,13.7,Yo‘q,0,2,Mikroqarz,Visa Gold,6,3724051,O‘rtacha,Ha,Ha,18.0,Raqamli,Past,Qisman,Yo‘q,0,Mobil ilova,Ha,Past risk (Xavfsiz),21,Faol / Sodiq,Faol / Sodiq,870249.7700000001,Oltin (Tier 2)
UZB102847,Zokirova Laylo,Ayol,2008-04-15,18,18-24,Andijon,Shahrixon,998901000000.0,laylo.zokiro96@gmail.com,2023-07-17,37,Uzoq muddatli (3+ yil),Orient Finans bank,Filial-015,SME,O‘rta,Xizmat ko‘rsatish,Uylangan/Turmushga chiqqan,5960735,O‘rta (3-7 mln),645,O‘rta (500-649),5255810,Ha,50873227,Kredit kartasi,27.1,48.0,17.8,Yo‘q,0,4,Kredit kartasi,Visa Classic,20,6408758,Juda faol,Yo‘q,Ha,48.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha,Past risk (Xavfsiz),22,Faol / Sodiq,Faol / Sodiq,987039.16,Oltin (Tier 2)
UZB102609,Qodirova Jamila,Ayol,1994-06-19,32,25-34,Andijon,Asaka,998920000000.0,jamila.qodiro21@yandex.ru,2024-10-26,22,O‘rta (1-3 yil),Milliy bank,Filial-070,Retail,Oliy,Qurilish,Bo‘ydoq,7746747,Yuqori (7-15 mln),433,Yomon (<500),18378661,Ha,50664302,Overdraft,27.2,12.0,54.5,Ha,735150,2,Muddatli depozit,Mastercard Standard,16,8649977,Faol,Yo‘q,Ha,37.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Partner,Ha,Yuqori risk,23,Faol / Sodiq,Faol / Sodiq,1866607.29,Platina (Tier 1)
UZB102101,Karimova Komila,Ayol,1994-05-03,32,25-34,Andijon,Shahrixon,998915000000.0,komila.karimo79@umail.uz,2020-01-18,80,Uzoq muddatli (3+ yil),Tenge Bank,Filial-064,VIP,Oliy,Transport,Uylangan/Turmushga chiqqan,13389436,Yuqori (7-15 mln),678,Yaxshi (650-749),1595932,Ha,48396991,Kredit kartasi,24.6,18.0,20.1,Yo‘q,0,3,Ipoteка,Uzcard,4,3592639,O‘rtacha,Ha,Ha,6.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),24,Faol / Sodiq,Faol / Sodiq,1490592.9800000002,Platina (Tier 1)
UZB102240,Nazarov Bahrom,Erkak,2001-02-19,25,25-34,Andijon,Xonobod,998948000000.0,bahrom.nazaro48@mail.ru,2022-02-24,54,Uzoq muddatli (3+ yil),InFinBank,Filial-020,SME,Oliy,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,2743005,Past (< 3 mln),771,A’lo (750+),4700243,Ha,47909587,Avtokredit,25.1,60.0,29.1,Ha,9455580,1,Overdraft,Visa Classic,6,3749218,O‘rtacha,Ha,Ha,24.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Agent,Ha,Past risk (Xavfsiz),25,Faol / Sodiq,Faol / Sodiq,584297.01,Oddiy (Tier 3)
UZB100821,Ergashev Bobur,Erkak,1972-09-30,53,45-54,Andijon,Shahrixon,998919000000.0,bobur.ergash30@mail.ru,2020-12-20,69,Uzoq muddatli (3+ yil),Hamkorbank,Filial-038,Retail,O‘rta maxsus,Qishloq xo‘jaligi,Bo‘ydoq,4308573,O‘rta (3-7 mln),764,A’lo (750+),12835165,Ha,45791352,Overdraft,24.5,60.0,17.7,Yo‘q,0,2,Kredit kartasi,UnionPay,18,24118565,Faol,Ha,Yo‘q,11.0,Raqamli,Past,Kutilmoqda,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),26,Faol / Sodiq,Faol / Sodiq,1554986.85,Platina (Tier 1)
UZB101616,Usmonov Mirzo,Erkak,1987-12-13,38,35-44,Andijon,Xonobod,998936000000.0,mirzo.usmono84@mail.ru,2019-07-07,86,Uzoq muddatli (3+ yil),Orient Finans bank,Filial-001,Corporate,Oliy,Ishlab chiqarish,Ajrashgan,3112356,O‘rta (3-7 mln),658,Yaxshi (650-749),1502003,Ha,45684176,Iste’mol krediti,26.2,48.0,30.6,Yo‘q,0,2,Overdraft,UnionPay,9,2205187,Faol,Ha,Yo‘q,0.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha,O'rtacha risk,27,Faol / Sodiq,Faol / Sodiq,430439.49000000005,Oddiy (Tier 3)
UZB103334,Aliyeva Hilola,Ayol,1991-10-13,34,25-34,Andijon,Xonobod,998976000000.0,hilola.aliyev64@mail.ru,2023-12-22,32,O‘rta (1-3 yil),Universal bank,Filial-039,SME,Bakalavr,Bank/Moliya,Bo‘ydoq,2944773,Past (< 3 mln),706,Yaxshi (650-749),2800825,Ha,45503154,Iste’mol krediti,18.9,12.0,128.8,Yo‘q,0,2,Avtokredit,Mastercard Standard,5,667838,O‘rtacha,Yo‘q,Ha,3.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Filial,Ha,Yuqori risk,28,Faol / Sodiq,Faol / Sodiq,447875.31,Oddiy (Tier 3)
UZB102185,Boboyeva Gulnora,Ayol,1991-01-15,35,35-44,Andijon,Andijon shahri,998946000000.0,gulnora.boboye32@inbox.uz,2021-09-04,60,Uzoq muddatli (3+ yil),Milliy bank,Filial-008,Retail,O‘rta,Turizm,Uylangan/Turmushga chiqqan,6602031,O‘rta (3-7 mln),512,O‘rta (500-649),742072,Ha,45399118,Overdraft,24.3,24.0,28.7,Yo‘q,0,1,Kredit kartasi,Humo,8,7821473,Faol,Yo‘q,Yo‘q,,An’anaviy,O‘rta,Kutilmoqda,Ha,8,Mobil ilova,Ha,Past risk (Xavfsiz),29,Faol / Sodiq,Faol / Sodiq,853736.16,Oltin (Tier 2)
UZB103011,Hasanova Nilufar,Ayol,1981-03-03,45,45-54,Andijon,Asaka,998919000000.0,nilufar.hasano72@gmail.com,2021-08-19,61,Uzoq muddatli (3+ yil),Agrobank,Filial-076,Retail,O‘rta,Energetika,Uylangan/Turmushga chiqqan,4531798,O‘rta (3-7 mln),577,O‘rta (500-649),2558504,Ha,45259123,Mikroqarz,26.8,12.0,83.2,Yo‘q,0,2,Plastik karta,Mastercard Gold,14,3120018,Faol,Ha,Yo‘q,3.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Yuqori risk,30,Faol / Sodiq,Faol / Sodiq,643505.36,Oltin (Tier 2)
UZB100964,Sultonova Sevara,Ayol,1984-01-17,42,35-44,Andijon,Shahrixon,998995000000.0,sevara.sulton15@umail.uz,2025-03-07,17,O‘rta (1-3 yil),Agrobank,Filial-031,Retail,Oliy,Davlat xizmati,Uylangan/Turmushga chiqqan,6442900,O‘rta (3-7 mln),727,Yaxshi (650-749),3009585,Ha,43931384,Mikroqarz,18.1,36.0,18.9,Yo‘q,0,5,Ipoteка,Mastercard Gold,11,2225292,Faol,Ha,Ha,18.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),31,Faol / Sodiq,Faol / Sodiq,839275.09,Oltin (Tier 2)
UZB100830,Kamolov Bahrom,Erkak,1999-08-13,27,25-34,Andijon,Andijon shahri,998960000000.0,bahrom.kamolo38@mail.ru,2020-05-15,76,Uzoq muddatli (3+ yil),Aloqabank,Filial-011,Retail,Oliy,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,3235994,O‘rta (3-7 mln),576,O‘rta (500-649),2652792,Ha,43103173,Iste’mol krediti,30.4,48.0,27.7,Yo‘q,0,2,Overdraft,Mastercard Gold,12,7648041,Faol,Ha,Ha,19.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Filial,Ha,Past risk (Xavfsiz),32,Faol / Sodiq,Faol / Sodiq,609199.8200000001,Oddiy (Tier 3)
UZB100194,Ibragimova Asal,Ayol,1999-08-04,27,25-34,Andijon,Andijon shahri,998996000000.0,asal.ibragi66@yandex.ru,2024-01-26,31,O‘rta (1-3 yil),Tenge Bank,Filial-058,Retail,Oliy,Davlat xizmati,Uylangan/Turmushga chiqqan,2021859,Past (< 3 mln),621,O‘rta (500-649),3272970,Ha,42384673,Ipoteка,20.3,6.0,349.4,Ha,4839391,3,Mikroqarz,Mastercard Gold,7,2142822,O‘rtacha,Ha,Yo‘q,2.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Yuqori risk,33,Faol / Sodiq,Faol / Sodiq,408690.84,Oddiy (Tier 3)
UZB101625,Juraev Xurshid,Erkak,1967-05-16,59,55+,Andijon,Xonobod,998903000000.0,xurshid.juraev20@yandex.ru,2023-11-23,33,O‘rta (1-3 yil),Anorbank,Filial-039,Retail,O‘rta maxsus,Turizm,Uylangan/Turmushga chiqqan,6967207,O‘rta (3-7 mln),553,O‘rta (500-649),3670582,Ha,40642214,Overdraft,26.2,36.0,16.2,Yo‘q,0,1,Omonat,UnionPay,4,2716423,O‘rtacha,Ha,Ha,2.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Partner,Ha,Past risk (Xavfsiz),34,Faol / Sodiq,Faol / Sodiq,934578.26,Oltin (Tier 2)
UZB100133,Kamolova Jasmina,Ayol,1990-04-06,36,35-44,Andijon,Asaka,998992000000.0,jasmina.kamolo33@inbox.uz,2026-07-19,1,Yangi (<1 yil),Xalq banki,Filial-079,Retail,O‘rta,Qishloq xo‘jaligi,Uylangan/Turmushga chiqqan,4614422,O‘rta (3-7 mln),657,Yaxshi (650-749),1176122,Ha,38862027,Overdraft,26.9,6.0,140.4,Yo‘q,0,5,Ipoteка,Humo,9,3239904,Faol,Ha,Ha,1.0,Raqamli,Past,Tasdiqlangan,Ha,6,Partner,Ha,Yuqori risk,35,Faol / Sodiq,Faol / Sodiq,585046.38,Oddiy (Tier 3)
UZB100277,Olimova Dildora,Ayol,1984-07-02,42,35-44,Andijon,Andijon shahri,998885000000.0,dildora.olimov80@umail.uz,2023-06-15,38,Uzoq muddatli (3+ yil),Turonbank,Filial-055,Retail,Oliy,O‘zini o‘zi band qilgan,Bo‘ydoq,6707016,O‘rta (3-7 mln),727,Yaxshi (650-749),438255,Ha,38196033,Overdraft,27.4,24.0,23.7,Yo‘q,0,5,Overdraft,Humo,9,3873086,Faol,Ha,Ha,15.0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Partner,Ha,Past risk (Xavfsiz),36,Faol / Sodiq,Faol / Sodiq,770076.0700000001,Oltin (Tier 2)
UZB100109,Saidova Zarina,Ayol,1997-10-21,28,25-34,Andijon,Xonobod,998913000000.0,zarina.saidov50@gmail.com,2021-01-08,68,Uzoq muddatli (3+ yil),Davr bank,Filial-040,Retail,O‘rta maxsus,IT/Texnologiya,Uylangan/Turmushga chiqqan,13378612,Yuqori (7-15 mln),531,O‘rta (500-649),402922,Ha,36478691,Biznes krediti,24.8,36.0,7.6,Yo‘q,0,1,Plastik karta,Humo,5,3387794,O‘rtacha,Ha,Yo‘q,1.0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha,Past risk (Xavfsiz),37,Faol / Sodiq,Faol / Sodiq,1425763.1800000002,Platina (Tier 1)
