mijoz_id,to'liq_ism,jinsi,tug'ilgan_sana,yoshi,Yosh_guruxi,viloyat,shahar_tuman,telefon,email,ro'yxatdan_o'tgan_sana,mijoz_staji_oy,Mijoz_staji_guruxi,bank,filial,mijoz_segmenti,ta'lim,kasb_sohasi,oilaviy_holat,o'rtacha_oylik_daromad_uzs,Daromad_guruxi,kredit_reytingi,Kredit_reytingi_guruxi,hisob_qoldig'i_uzs,kredit_mavjud,kredit_summasi_uzs,kredit_turi,yillik_foiz_stavkasi,kredit_muddati_oy,Kredit_yuklamasi_foiz,depozit_mavjud,depozit_summasi_uzs,mahsulotlar_soni,asosiy_mahsulot,karta_turi,oxirgi_oy_tranzaksiyalar_soni,oxirgi_oy_tranzaksiya_hajmi_uzs,Faollik_darajasi,mobil_ilova_foydalanadi,internet_banking,oxirgi_kirish_kunlari,Raqamli_mijoz,xavf_reytingi,kyc_status,muddati_o'tgan_qarz,muddati_o'tgan_kunlar,jalb_qilish_kanali,faol_mijoz
UZB100010,Yusupov Bobur,Erkak,6/16/1994,32,25-34,Toshkent shahri,Mirzo Ulug‘bek,998942000000.00,bobur.yusupo89@gmail.com,3/26/2024,29,O‘rta (1-3 yil),Qishloq qurilish bank,Filial-075,SME,O‘rta maxsus,Sog‘liqni saqlash,Uylangan/Turmushga chiqqan,10285172,Yuqori (7-15 mln),773,A’lo (750+),5656451,Ha,19939832,Overdraft,27,24,8.1,Ha,2670848,1,Overdraft,Humo,20,2571996,Juda faol,Yo‘q,Ha,33,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100011,Normatova Laylo,Ayol,12/28/1969,56,55+,Jizzax,Jizzax shahri,998335000000.00,laylo.normat26@yandex.ru,11/23/2019,82,Uzoq muddatli (3+ yil),Aloqabank,Filial-032,Retail,Oliy,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,4107047,O‘rta (3-7 mln),540,O‘rta (500-649),1292263,Yo‘q,0,,,,0,Yo‘q,0,3,Mikroqarz,Mastercard Standard,9,3768252,Faol,Yo‘q,Ha,15,Raqamli,Juda yuqori,Kutilmoqda,Yo‘q,0,Mobil ilova,Ha
UZB100012,Sultonov Davron,Erkak,8/10/1981,45,45-54,Andijon,Andijon shahri,998936000000.00,davron.sulton46@inbox.uz,5/5/2021,64,Uzoq muddatli (3+ yil),Universal bank,Filial-044,Retail,O‘rta,Sog‘liqni saqlash,Uylangan/Turmushga chiqqan,12634598,Yuqori (7-15 mln),640,O‘rta (500-649),5481458,Yo‘q,0,,,,0,Ha,4839472,3,Mikroqarz,UnionPay,20,2027366,Juda faol,Ha,Ha,14,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100013,Abdullayeva Barno,Ayol,9/28/1997,28,25-34,Toshkent viloyati,Angren,998331000000.00,barno.abdull24@gmail.com,6/4/2019,88,Uzoq muddatli (3+ yil),Hamkorbank,Filial-070,Retail,O‘rta maxsus,Transport,Uylangan/Turmushga chiqqan,2442909,Past (< 3 mln),689,Yaxshi (650-749),9084383,Yo‘q,0,,,,0,Ha,6368884,3,Avtokredit,Uzcard,11,6263963,Faol,Yo‘q,Yo‘q,,An’anaviy,Past,Kutilmoqda,Yo‘q,0,Agent,Ha
UZB100014,Rahimov Karim,Erkak,7/1/1999,27,25-34,Toshkent shahri,Sergeli,998935000000.00,karim.rahimo30@mail.ru,6/25/2023,38,Uzoq muddatli (3+ yil),Qishloq qurilish bank,Filial-004,Retail,Bakalavr,Energetika,Ajrashgan,3044760,O‘rta (3-7 mln),613,O‘rta (500-649),2985812,Yo‘q,0,,,,0,Yo‘q,0,5,Biznes krediti,Visa Classic,8,911391,Faol,Ha,Yo‘q,33,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100015,Aliyeva Jamila,Ayol,6/16/1983,43,35-44,Xorazm,Urganch,998904000000.00,jamila.aliyev61@yandex.ru,6/27/2024,26,O‘rta (1-3 yil),Trastbank,Filial-009,Mass,O‘rta maxsus,Ishlab chiqarish,Uylangan/Turmushga chiqqan,4941143,O‘rta (3-7 mln),686,Yaxshi (650-749),1152040,Ha,39798700,Overdraft,31.6,12,67.1,Yo‘q,0,2,Muddatli depozit,Visa Classic,10,6252699,Faol,Ha,Yo‘q,16,Raqamli,Yuqori,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha
UZB100016,Boboyeva Barno,Ayol,3/9/1988,38,35-44,Andijon,Xonobod,998945000000.00,barno.boboye15@umail.uz,6/8/2026,2,Yangi (<1 yil),Kapitalbank,Filial-067,Mass,O‘rta,Turizm,Ajrashgan,11503200,Yuqori (7-15 mln),714,Yaxshi (650-749),379570,Yo‘q,0,,,,0,Ha,1423163,4,Biznes krediti,Visa Classic,13,3379507,Faol,Ha,Ha,9,Raqamli,Past,Rad etilgan,Yo‘q,0,Agent,Ha
UZB100017,Qodirova Zarina,Ayol,1/11/1995,31,25-34,Farg‘ona,Farg‘ona shahri,998953000000.00,zarina.qodiro34@umail.uz,1/25/2023,43,Uzoq muddatli (3+ yil),Agrobank,Filial-023,SME,O‘rta maxsus,Transport,Bo‘ydoq,8713482,Yuqori (7-15 mln),474,Yomon (<500),1125436,Yo‘q,0,,,,0,Ha,13227990,1,Mikroqarz,Visa Classic,5,9071667,O‘rtacha,Ha,Ha,12,Raqamli,Past,Kutilmoqda,Yo‘q,0,Agent,Ha
UZB100018,Usmonova Rayhon,Ayol,6/24/1966,60,55+,Samarqand,Urgut,998916000000.00,rayhon.usmono75@inbox.uz,8/7/2023,37,Uzoq muddatli (3+ yil),Xalq banki,Filial-012,Corporate,Magistr,Ishlab chiqarish,Uylangan/Turmushga chiqqan,1500000,Past (< 3 mln),636,O‘rta (500-649),896143,Yo‘q,0,,,,0,Yo‘q,0,2,Biznes krediti,Humo,6,3184182,O‘rtacha,Yo‘q,Yo‘q,,An’anaviy,Past,Tasdiqlangan,Yo‘q,0,Partner,Ha
UZB100019,Tursunova Zarina,Ayol,7/6/1994,32,25-34,Qashqadaryo,Guzor,998931000000.00,zarina.tursun23@umail.uz,4/9/2023,41,Uzoq muddatli (3+ yil),Davr bank,Filial-023,Corporate,O‘rta,Qishloq xo‘jaligi,Uylangan/Turmushga chiqqan,3411523,O‘rta (3-7 mln),778,A’lo (750+),3223499,Ha,6357872,Ipoteка,25.4,36,5.2,Yo‘q,0,5,Ipoteка,Visa Gold,7,3914506,O‘rtacha,Ha,Yo‘q,1,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha
UZB100020,Umarova Gulchehra,Ayol,5/10/1983,43,35-44,Samarqand,Payariq,998885000000.00,gulchehra.umarov41@yandex.ru,1/6/2019,92,Uzoq muddatli (3+ yil),Tenge Bank,Filial-063,SME,O‘rta maxsus,Bank/Moliya,Bo‘ydoq,9269535,Yuqori (7-15 mln),536,O‘rta (500-649),1846069,Yo‘q,0,,,,0,Yo‘q,0,2,Biznes krediti,Visa Classic,6,5100137,O‘rtacha,Yo‘q,Yo‘q,,An’anaviy,Past,Kutilmoqda,Yo‘q,0,Agent,Ha
UZB100021,Ergashev Farhod,Erkak,11/17/2005,20,18-24,Toshkent shahri,Mirzo Ulug‘bek,998904000000.00,farhod.ergash63@umail.uz,12/18/2020,69,Uzoq muddatli (3+ yil),Kapitalbank,Filial-074,Retail,Oliy,Savdo,Uylangan/Turmushga chiqqan,12166716,Yuqori (7-15 mln),620,O‘rta (500-649),610595,Yo‘q,0,,,,0,Ha,6637950,1,Kredit kartasi,UnionPay,9,3432111,Faol,Ha,Ha,28,Raqamli,Yuqori,Kutilmoqda,Yo‘q,0,Agent,Ha
UZB100022,Mamatov Vali,Erkak,9/24/1989,36,35-44,Toshkent viloyati,Nurafshon,998940000000.00,vali.mamato13@umail.uz,7/6/2020,74,Uzoq muddatli (3+ yil),Kapitalbank,Filial-011,SME,Oliy,Qishloq xo‘jaligi,Uylangan/Turmushga chiqqan,6561267,O‘rta (3-7 mln),563,O‘rta (500-649),1544565,Ha,12689674,Avtokredit,28.7,24,8.1,Ha,2087961,1,Kredit kartasi,Visa Classic,13,6883453,Faol,Ha,Ha,32,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Agent,Ha
UZB100023,Sultonova Gulchehra,Ayol,10/1/1990,35,35-44,Samarqand,Samarqand shahri,998912000000.00,gulchehra.sulton13@mail.ru,11/15/2020,70,Uzoq muddatli (3+ yil),Universal bank,Filial-003,SME,Oliy,Qishloq xo‘jaligi,Bo‘ydoq,11630526,Yuqori (7-15 mln),694,Yaxshi (650-749),5262998,Yo‘q,0,,,,0,Yo‘q,0,1,Plastik karta,Humo,25,4414147,Juda faol,Ha,Yo‘q,27,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha
UZB100024,Ibragimova Hilola,Ayol,4/15/1977,49,45-54,Farg‘ona,Farg‘ona shahri,998998000000.00,hilola.ibragi35@gmail.com,7/27/2021,61,Uzoq muddatli (3+ yil),Davr bank,Filial-014,SME,O‘rta maxsus,Ishlab chiqarish,Bo‘ydoq,6762589,O‘rta (3-7 mln),608,O‘rta (500-649),2227510,Yo‘q,0,,,,0,Ha,7684168,3,Ipoteка,UnionPay,9,453708,Faol,Ha,Yo‘q,26,Raqamli,Juda yuqori,Kutilmoqda,Yo‘q,0,Veb-sayt,Ha
UZB100025,Toshmatova To‘lganoy,Ayol,1/8/1967,59,55+,Farg‘ona,Farg‘ona shahri,998997000000.00,to‘lganoy.toshma91@umail.uz,4/29/2020,77,Uzoq muddatli (3+ yil),Hamkorbank,Filial-056,Retail,O‘rta,Ishlab chiqarish,Uylangan/Turmushga chiqqan,3024184,O‘rta (3-7 mln),591,O‘rta (500-649),3254397,Yo‘q,0,,,,0,Ha,2147689,3,Muddatli depozit,UnionPay,5,3378429,O‘rtacha,Yo‘q,Yo‘q,,An’anaviy,O‘rta,Tasdiqlangan,Yo‘q,0,Filial,Ha
UZB100026,Tursunova Madina,Ayol,12/1/1993,32,25-34,Toshkent viloyati,Chirchiq,998909000000.00,madina.tursun51@mail.ru,2/21/2026,6,Yangi (<1 yil),Anorbank,Filial-028,Retail,O‘rta maxsus,Sog‘liqni saqlash,Ajrashgan,3385596,O‘rta (3-7 mln),742,Yaxshi (650-749),172044,Ha,81248998,Overdraft,19.2,48,50,Yo‘q,0,5,Mikroqarz,Mastercard Standard,3,1042140,O‘rtacha,Yo‘q,Yo‘q,,An’anaviy,Past,Rad etilgan,Yo‘q,0,Veb-sayt,Yo‘q
UZB100027,Zokirova Sevara,Ayol,4/19/1998,28,25-34,Qashqadaryo,Guzor,998995000000.00,sevara.zokiro49@inbox.uz,7/10/2023,38,Uzoq muddatli (3+ yil),Milliy bank,Filial-061,SME,O‘rta maxsus,Turizm,Bo‘ydoq,7752628,Yuqori (7-15 mln),757,A’lo (750+),1740160,Yo‘q,0,,,,0,Yo‘q,0,2,Overdraft,Mastercard Gold,5,1850205,O‘rtacha,Yo‘q,Ha,26,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha
UZB100028,Mirzayev Eldor,Erkak,10/27/1985,40,35-44,Toshkent shahri,Yunusobod,998886000000.00,eldor.mirzay85@inbox.uz,6/25/2024,26,O‘rta (1-3 yil),Turonbank,Filial-013,VIP,O‘rta maxsus,Savdo,Uylangan/Turmushga chiqqan,5437416,O‘rta (3-7 mln),628,O‘rta (500-649),784175,Yo‘q,0,,,,0,Yo‘q,0,6,Iste’mol krediti,Mastercard Gold,11,923213,Faol,Yo‘q,Ha,2,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Partner,Ha
UZB100029,Olimov Yusuf,Erkak,10/24/1978,47,45-54,Namangan,Chortoq,998889000000.00,yusuf.olimov66@yandex.ru,9/7/2021,60,Uzoq muddatli (3+ yil),Orient Finans bank,Filial-007,Retail,Magistr,Bank/Moliya,Bo‘ydoq,1500000,Past (< 3 mln),572,O‘rta (500-649),797343,Yo‘q,0,,,,0,Yo‘q,0,6,Kredit kartasi,Visa Gold,15,4539671,Faol,Ha,Ha,0,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha
UZB100030,Ergashev Farhod,Erkak,8/22/1974,52,45-54,Surxondaryo,Denov,998950000000.00,farhod.ergash58@umail.uz,10/9/2023,35,O‘rta (1-3 yil),InFinBank,Filial-039,VIP,Bakalavr,Sog‘liqni saqlash,Bo‘ydoq,3880897,O‘rta (3-7 mln),465,Yomon (<500),10065727,Ha,17839294,Iste’mol krediti,26.8,18,25.5,Ha,15581547,2,Plastik karta,Mastercard Gold,15,4953285,Faol,Ha,Ha,98,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100031,Mamatov Jasur,Erkak,3/17/1985,41,35-44,Toshkent shahri,Yunusobod,998959000000.00,jasur.mamato19@mail.ru,2/16/2024,30,O‘rta (1-3 yil),Trastbank,Filial-076,SME,Bakalavr,Qurilish,Uylangan/Turmushga chiqqan,5409518,O‘rta (3-7 mln),624,O‘rta (500-649),1155358,Ha,34641569,Ipoteка,20.3,18,35.6,Yo‘q,0,2,Avtokredit,Visa Classic,7,2280207,O‘rtacha,Yo‘q,Ha,17,Raqamli,Yuqori,Tasdiqlangan,Ha,18,Veb-sayt,Ha
UZB100032,Boboyeva Rayhon,Ayol,6/29/1964,62,55+,Buxoro,Kogon,998908000000.00,rayhon.boboye51@inbox.uz,11/9/2024,21,O‘rta (1-3 yil),Trastbank,Filial-004,Retail,Bakalavr,O‘zini o‘zi band qilgan,Ajrashgan,6070679,O‘rta (3-7 mln),723,Yaxshi (650-749),6796346,Yo‘q,0,,,,0,Yo‘q,0,2,Plastik karta,Uzcard,12,3677622,Faol,Ha,Ha,16,Raqamli,Juda yuqori,Tasdiqlangan,Yo‘q,0,Filial,Ha
UZB100033,Aliyeva Umida,Ayol,11/17/1970,55,55+,Qashqadaryo,Shahrisabz,998999000000.00,umida.aliyev21@umail.uz,11/27/2018,94,Uzoq muddatli (3+ yil),Milliy bank,Filial-053,Retail,O‘rta,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,9963885,Yuqori (7-15 mln),580,O‘rta (500-649),1314845,Yo‘q,0,,,,0,Yo‘q,0,1,Kredit kartasi,Mastercard Gold,12,3182354,Faol,Yo‘q,Ha,3,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100034,Normatova Iqbol,Ayol,12/19/1978,47,45-54,Andijon,Shahrixon,998339000000.00,iqbol.normat62@gmail.com,10/16/2020,71,Uzoq muddatli (3+ yil),Universal bank,Filial-067,Retail,Magistr,Ishlab chiqarish,Uylangan/Turmushga chiqqan,7052169,Yuqori (7-15 mln),617,O‘rta (500-649),165888,Ha,18252123,Iste’mol krediti,24.1,48,5.4,Ha,950823,1,Biznes krediti,Visa Classic,4,1834041,O‘rtacha,Ha,Yo‘q,2,Raqamli,O‘rta,Rad etilgan,Yo‘q,0,Filial,Ha
UZB100035,Abdullayeva Feruza,Ayol,11/11/1979,46,45-54,Qoraqalpog‘iston,Xo‘jayli,998919000000.00,feruza.abdull25@mail.ru,3/12/2026,5,Yangi (<1 yil),Anorbank,Filial-038,Retail,O‘rta maxsus,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,4397362,O‘rta (3-7 mln),804,A’lo (750+),1351557,Yo‘q,0,,,,0,Ha,2442782,1,Omonat,Humo,4,733627,O‘rtacha,Ha,Ha,7,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha
UZB100036,Ibragimov Lutfulla,Erkak,7/11/1995,31,25-34,Buxoro,G‘ijduvon,998951000000.00,lutfulla.ibragi46@yandex.ru,3/2/2021,66,Uzoq muddatli (3+ yil),Anorbank,Filial-020,Retail,O‘rta,Savdo,Bo‘ydoq,2330248,Past (< 3 mln),796,A’lo (750+),2068462,Yo‘q,0,,,,0,Ha,1849270,4,Muddatli depozit,Visa Gold,7,2229067,O‘rtacha,Yo‘q,Ha,7,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100037,Mamatov Erkin,Erkak,4/22/2007,19,18-24,Andijon,Asaka,998994000000.00,erkin.mamato73@gmail.com,10/25/2021,58,Uzoq muddatli (3+ yil),Hamkorbank,Filial-065,Mass,O‘rta maxsus,Bank/Moliya,Ajrashgan,14031452,Yuqori (7-15 mln),768,A’lo (750+),1470564,Yo‘q,0,,,,0,Yo‘q,0,1,Omonat,Uzcard,8,1172162,Faol,Ha,Ha,0,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Agent,Ha
UZB100038,Tursunov Temur,Erkak,7/25/2006,20,18-24,Farg‘ona,Marg‘ilon,998980000000.00,temur.tursun58@yandex.ru,4/27/2022,52,Uzoq muddatli (3+ yil),Anorbank,Filial-070,Retail,Oliy,Ishlab chiqarish,Bo‘ydoq,2564095,Past (< 3 mln),561,O‘rta (500-649),783973,Ha,14422350,Avtokredit,28.6,48,11.7,Yo‘q,0,5,Biznes krediti,Mastercard Gold,9,1198678,Faol,Ha,Yo‘q,12,Raqamli,Past,Qisman,Yo‘q,0,Filial,Ha
UZB100039,Ismoilov Ulugbek,Erkak,11/30/2004,21,18-24,Namangan,Namangan shahri,998994000000.00,ulugbek.ismoil31@mail.ru,8/15/2020,73,Uzoq muddatli (3+ yil),Aloqabank,Filial-079,VIP,O‘rta,Ta’lim,Uylangan/Turmushga chiqqan,1500000,Past (< 3 mln),704,Yaxshi (650-749),2049751,Ha,22178389,Mikroqarz,21.6,6,246.4,Yo‘q,0,1,Avtokredit,Humo,4,553173,O‘rtacha,Ha,Ha,27,Raqamli,O‘rta,Tasdiqlangan,Yo‘q,0,Call-center,Ha
UZB100040,Olimova Komila,Ayol,3/18/1995,31,25-34,Farg‘ona,Marg‘ilon,998959000000.00,komila.olimov48@mail.ru,10/1/2020,71,Uzoq muddatli (3+ yil),Agrobank,Filial-062,Retail,O‘rta maxsus,Savdo,Bo‘ydoq,5575904,O‘rta (3-7 mln),545,O‘rta (500-649),2742960,Ha,18902140,Overdraft,21.8,36,9.4,Yo‘q,0,1,Mikroqarz,Uzcard,12,1748553,Faol,Yo‘q,Ha,8,Raqamli,Juda yuqori,Tasdiqlangan,Yo‘q,0,Partner,Ha
UZB100041,Ibragimov Lutfulla,Erkak,3/26/2008,18,18-24,Namangan,Kosonsoy,998953000000.00,lutfulla.ibragi90@gmail.com,10/31/2025,9,Yangi (<1 yil),Ipoteka-bank,Filial-040,Corporate,Oliy,Savdo,Bo‘ydoq,3909681,O‘rta (3-7 mln),592,O‘rta (500-649),318332,Yo‘q,0,,,,0,Ha,9602268,3,Ipoteка,Visa Classic,5,3001048,O‘rtacha,Yo‘q,Ha,3,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Mobil ilova,Ha
UZB100042,Rasulov Farhod,Erkak,1/18/1995,31,25-34,Andijon,Xonobod,998957000000.00,farhod.rasulo24@umail.uz,5/27/2020,76,Uzoq muddatli (3+ yil),Aloqabank,Filial-019,Corporate,Oliy,Ishlab chiqarish,Bo‘ydoq,11692175,Yuqori (7-15 mln),689,Yaxshi (650-749),832337,Yo‘q,0,,,,0,Yo‘q,0,2,Kredit kartasi,UnionPay,8,15044454,Faol,Yo‘q,Ha,16,Raqamli,Yuqori,Tasdiqlangan,Yo‘q,0,Agent,Ha
UZB100043,Nazarova Aziza,Ayol,8/25/1974,52,45-54,Andijon,Shahrixon,998915000000.00,aziza.nazaro70@gmail.com,9/22/2022,47,Uzoq muddatli (3+ yil),Xalq banki,Filial-079,Retail,Oliy,O‘zini o‘zi band qilgan,Uylangan/Turmushga chiqqan,6440357,O‘rta (3-7 mln),650,Yaxshi (650-749),1209536,Ha,12751435,Overdraft,31.2,18,11,Yo‘q,0,1,Mikroqarz,Mastercard Gold,12,2278117,Faol,Ha,Ha,3,Raqamli,Past,Tasdiqlangan,Yo‘q,0,Veb-sayt,Ha
UZB100044,Boboyeva Feruza,Ayol,9/28/1990,35,35-44,Toshkent shahri,Mirzo Ulug‘bek,998938000000.00,feruza.boboye93@gmail.com,1/10/2019,92,Uzoq muddatli (3+ yil),Anorbank,Filial-079,Retail,Bakalavr,Davlat xizmati,Bo‘ydoq,9589444,Yuqori (7-15 mln),700,Yaxshi (650-749),2223836,Ha,8918743,Ipoteка,19.4,48,1.9,Yo‘q,0,5,Omonat,Visa Gold,9,3038205,Faol,Yo‘q,Yo‘q,,An’anaviy,Juda yuqori,Kutilmoqda,Yo‘q,0,Call-center,Ha
